"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2020","51.55","50.10","54.25","49.55","1.32M","2.08%"
"Aug 19, 2020","50.50","51.05","51.60","50.35","631.49K","0.20%"
"Aug 18, 2020","50.40","49.25","50.85","49.25","925.90K","1.82%"
"Aug 17, 2020","49.50","50.40","50.40","48.75","494.79K","0.30%"
"Aug 14, 2020","49.35","51.10","51.75","48.40","730.19K","-1.89%"
"Aug 13, 2020","50.30","49.20","52.20","49.15","1.74M","2.13%"
"Aug 12, 2020","49.25","46.05","50.80","46.05","3.22M","6.03%"
"Aug 11, 2020","46.45","46.25","47.70","45.50","562.15K","0.65%"
"Aug 10, 2020","46.15","46.00","47.00","46.00","113.38K","-0.11%"
"Aug 07, 2020","46.20","45.80","47.00","45.80","410.69K","0.11%"
"Aug 06, 2020","46.15","46.00","47.30","45.75","141.64K","0.98%"
"Aug 05, 2020","45.70","46.45","46.45","45.60","186.63K","0.33%"
"Aug 04, 2020","45.55","45.55","46.80","45.35","155.86K","-1.09%"
"Aug 03, 2020","46.05","47.70","47.70","46.00","179.09K","-1.71%"
"Jul 31, 2020","46.85","47.30","47.50","46.55","183.45K","-0.95%"
"Jul 30, 2020","47.30","47.15","48.10","46.90","407.99K","-2.47%"
"Jul 29, 2020","48.50","47.95","49.90","46.80","466.17K","1.15%"
"Jul 28, 2020","47.95","48.95","48.95","47.60","150.61K","-0.42%"
"Jul 27, 2020","48.15","50.20","50.50","48.00","172.34K","-3.99%"
"Jul 24, 2020","50.15","50.00","51.80","48.40","583.71K","1.42%"
"Jul 23, 2020","49.45","47.70","50.50","47.45","451.38K","4.21%"
"Jul 22, 2020","47.45","48.45","48.45","47.20","136.50K","-0.94%"
"Jul 21, 2020","47.90","49.05","49.05","47.80","189.80K","-1.74%"
"Jul 20, 2020","48.75","49.50","49.50","48.60","109.37K","0.00%"
"Jul 17, 2020","48.75","49.50","49.95","48.30","290.01K","-2.11%"
"Jul 16, 2020","49.80","47.15","50.75","46.60","888.31K","3.97%"
"Jul 15, 2020","47.90","48.50","49.20","47.60","175.95K","-0.42%"
"Jul 14, 2020","48.10","49.70","49.70","47.25","310.33K","-3.22%"
"Jul 13, 2020","49.70","50.60","50.60","49.55","130.25K","-0.40%"
"Jul 10, 2020","49.90","50.35","50.55","49.80","292.89K","-1.48%"
"Jul 09, 2020","50.65","51.10","51.50","50.25","267.29K","-0.59%"
"Jul 08, 2020","50.95","50.00","53.50","49.55","1.78M","1.60%"
"Jul 07, 2020","50.15","49.90","51.10","49.70","294.62K","0.50%"
"Jul 06, 2020","49.90","50.20","50.85","49.80","484.38K","-0.60%"
"Jul 03, 2020","50.20","50.05","51.15","49.50","752.48K","-0.50%"
"Jul 02, 2020","50.45","50.00","51.60","49.75","800.40K","1.51%"
"Jul 01, 2020","49.70","50.80","50.80","49.50","191.44K","-1.09%"
"Jun 30, 2020","50.25","51.95","52.25","50.10","300.04K","-2.33%"
